_id,_labels,name,BetweennessCentrality,ClosenessCentrality,DegreeCentrality,EigenCentrality,hitsauth,hitshub,pagerank
40,:Tail,financial table,0,0.6666666666666666,0,0.04299989,0.018025293067247695,0,0.16410468750000004
41,:Tail,main datum,0,0.6666666666666666,0,0.04299989,0.018025293067247695,0,0.16410468750000004
42,:Tail,title,0,0.6666666666666666,0,0.04299989,0.018025293067247695,0,0.16410468750000004
43,:Tail,justification,0,0.6666666666666666,0,0.04299989,0.018025293067247695,0,0.16410468750000004
44,:Tail,change,0,0.6666666666666666,0,0.04299989,0.018025293067247695,0,0.16410468750000004
45,:Tail,appropriation,0,0.6428571428571429,0,0.21164008147372532,0.1992144968522632,0,0.24589062500000003
46,:Tail,financial year,0,0.625,0,0.12584263606263196,0.026772523427922468,0,0.19438593750000002
47,:Tail,category,0,0.8,0,0.128797336,0.035355926,0,0.21951595982142857
48,:Tail,multiannual financial framework,0,0.6666666666666666,0,0.04299989,0.018025293067247695,0,0.16410468750000004
49,:Tail,point,0,0.6363636363636364,0,0.20868538191845828,0.18885926477971995,0,0.22178515625000003
50,:Tail,interinstitutional agreement,0,0.6666666666666666,0,0.04299989,0.014106488545637529,0,0.185261719
51,:Tail,estimate,0,0.6666666666666666,0,0.04299989,0.035724420430694376,0,0.15783593750000002
52,:Tail,work document,0,0.8,0,0.128797336,0.038750707,0,0.25186718750000003
53,:Tail,connection,0,0.6666666666666666,0,0.04299989,0.035724420430694376,0,0.15783593750000002
54,:Tail,establishment plan,0,0.6666666666666666,0,0.04299989,0.035724420430694376,0,0.15783593750000002
55,:Tail,latest authorised establishment plan,0,0.6666666666666666,0,0.04299989,0.035724420430694376,0,0.15783593750000002
56,:Tail,precede year,0,0.625,0,0.12584263606263196,0.044471650791369145,0,0.18811718750000003
57,:Tail,place distribution,0,0.6666666666666666,0,0.04299989,0.035724420430694376,0,0.15783593750000002
58,:Tail,grade,0,0.75,0,0.085898613,0.038948565,0,0.17798549107142858
59,:Tail,gender,0,0.6666666666666666,0,0.04299989,0.035724420430694376,0,0.15783593750000002
60,:Tail,administrative unit      l,0,0.6666666666666666,0,0.04299989,0.035724420430694376,0,0.15783593750000002
61,:Tail,person distribution,0,0.6666666666666666,0,0.04299989,0.035724420430694376,0,0.15783593750000002
62,:Tail,function group,0,0.6666666666666666,0,0.04299989,0.035724420430694376,0,0.15783593750000002
63,:Tail,use,0,0.6666666666666666,0,0.04299989,0.001741461,0,0.17350781250000002
64,:Tail,financial instrument,0,0.75,0,0.085898613,0.00832678,0,0.19113867187500003
65,:Tail,information,0,0.6666666666666666,0,0.085898613,0.00200681,0,0.19946316964285718
66,:Tail,paragraph,0,0.6666666666666666,0,0.16874135876817867,0.004255098,0,0.2719041666666667
67,:Tail,year revenue,0,0.6666666666666666,0,0.04299989,1.2231467051398786E-21,0,0.19701562500000003
68,:Tail,repayment,0,0.6666666666666666,0,0.04299989,1.2231467051398786E-21,0,0.19701562500000003
69,:Tail,article 2093,0,0.6666666666666666,0,0.04299989,1.2231467051398786E-21,0,0.19701562500000003
70,:Tail,overview,0,0.6666666666666666,0,0.04299989,0.00658532,0,0.16763085937500002
71,:Tail,administrative expenditure,0,0.6666666666666666,0,0.04299989,0.00658532,0,0.16763085937500002
72,:Tail,management fee,0,0.6666666666666666,0,0.04299989,0.00658532,0,0.16763085937500002
73,:Tail,financial operating charge,0,0.6666666666666666,0,0.04299989,0.00658532,0,0.16763085937500002
74,:Tail,management,0,0.6666666666666666,0,0.04299989,0.00658532,0,0.16763085937500002
75,:Tail,total,0,0.625,0,0.12584263606263196,0.17259086544228439,0,0.17387304687500002
